word,meaning
"operation","操作"
"particular","ある特定の"
"protocol","プロトコル（外交儀礼、条約、関係者間の決まり事）"
"provide","提供する"
"section","セクション、節"
"single","単一の"
"specific","特定の、具体的な"
"specification","仕様、仕様書"
"specify","明記する、指定する"
"via","経由で"
"within","～以内に"
"according to ~","～　に従って"
"as described in ~","～　で説明しているように"
"based on ~","～　に基づいて"
"if any","もしあるとしたら"
"note that ~","～　である点に注意"
"prior to ~","～　より前に"
"result in ~","～　という結果になる"
"such as ~","たとえば"
"the following ~","次の～"
"Then","続いて"
"FYI","参考までに。For Your Information。"
"whole number","整数"
"inclusive","含んだ"
"exclusive","含まない"
"multiply","かける、乗算する"
"round down","切り下げる"
"alternatively","代わりに"
"appreciate","感謝する"
"contain","","含む"
"conversion","変換"
"i.e.","すなわち、つまり"
"parenthesis","丸かっこ"
"placeholder","プレースホルダー（場所を確保するための、仮置き）"
"quote","引用する"
"suppose","仮定する"
"way","方法"
"as of ~","～時点で"
"as pointed out","指摘の通り"
"go on","発生する、進行する"
"how come","どうして、なぜ"
"in a nutshell","要するに、簡単にいうと"
"same here","私も同じ"
"something like ~","～のようなもの"
"vice versa","逆もまた同じ"
"work on ~","～に取り組む"
"TBD","後日決定。to be determined"
"ASAP","as soon as possible。できるだけ早く"
